,,City,Company,Link,State,Title
indeed.com,37,Richardson,Fossil,www.indeed.com/rc/clk?jk=b8ce1be3ce609a69,TX,Sr. Marketing Analytics Strategist
indeed.com,38,Philadelphia,Comcast,www.indeed.com/rc/clk?jk=5472d6492ef261fa,PA,Sr. Analyst - Data Science
indeed.com,39,San Francisco,Epsilon,www.indeed.com/rc/clk?jk=602dd62c52d9f8e5,CA,Relationship Manager
indeed.com,40,Chevy Chase,GEICO,www.indeed.com/rc/clk?jk=3e181b825d5c6903,MD,Data Scientist
indeed.com,41,Burlingame,LendingTree,www.indeed.com/rc/clk?jk=8bd9606a0a8c77f2,CA,Head of Strategy & Analytics
indeed.com,42,Conshohocken,LuckyVitamin Corporation,www.indeed.com/rc/clk?jk=0764ceb35a627e65,PA,Pricing & Business Analyst
indeed.com,43,Beaverton,Nike,www.indeed.com/rc/clk?jk=391fee5b82e5a193,OR,Director of Measurement Science
indeed.com,44,Los Angeles,MarketShare,www.indeed.com/rc/clk?jk=33dfdd0f3b9b3d16,CA,"Marketing Scientist, Attribution Analytics"
indeed.com,45,Los Angeles,MeUndies,www.indeed.com/rc/clk?jk=e9cf82ac7fccd8ea,CA,Marketing Analytics Lead
indeed.com,46,Las Vegas,MGM Resorts International Operations,www.indeed.com/rc/clk?jk=39f0942423419caa,NV,ADVANCED ANALYTICS MODELER-ANALYST IV
indeed.com,47,Creve Coeur,"NetEffects, Inc.",www.indeed.com/rc/clk?jk=4e0134ed388078c0,MO,Predictive Modeling Analyst
indeed.com,49,San Francisco,Clearslide Inc.,www.indeed.com/rc/clk?jk=b8545d8854848d43,CA,Senior Data Scientist
indeed.com,50,St. Louis,"Envision, LLC",www.indeed.com/rc/clk?jk=fba3f177d0eb9d50,MO,Sr. Data Scientist /Statistical Modeler
indeed.com,51,New York,SoluStaff,www.indeed.com/rc/clk?jk=eb65725b0e9609ab,NY,Cognos Business Intelligence Analyst
indeed.com,52,Broomfield,Epsilon,www.indeed.com/rc/clk?jk=68b0d7174d5b66ad,CO,"Sr. Analytic Consultant, Digital Analytics"
indeed.com,53,Cupertino,Seagate,www.indeed.com/rc/clk?jk=c07a938d91f4792f,CA,Manager-Customer Data Science and Analytics
indeed.com,54,San Antonio,Group O,www.indeed.com/rc/clk?jk=6331c4773555ba3a,TX,Data Scientist/Artisan
indeed.com,55,United States,Freedom Mortgage Corporation,www.indeed.com/rc/clk?jk=fb00c20609a30ebd,,Senior Vice President/Chief Analytics Officer
indeed.com,56,Philadelphia,"Numeric, LLC",www.indeed.com/rc/clk?jk=efe545b8900ebe72,PA,Data Scientist
indeed.com,57,Chicago,BlueMetal Architects,www.indeed.com/rc/clk?jk=0ea73f1244ee8efa,IL,Data Architect
indeed.com,58,Santa Clara,Hitachi Data Systems,www.indeed.com/rc/clk?jk=4810a2845989cc92,CA,Sr. CME Solutions & Data Architect
indeed.com,59,Boston,John Hancock,www.indeed.com/rc/clk?jk=4b85331d4beffcfd,MA,Data Scientist
indeed.com,60,San Francisco,Deloitte,www.indeed.com/rc/clk?jk=b62cd97e651983ea,CA,Deloitte Digital Analytics - Senior Consultant
indeed.com,61,Washington,"C.C. Pace Systems, Inc.",www.indeed.com/rc/clk?jk=eb3a795690a33cc8,DC,Business Intelligence Engineer
indeed.com,62,North Andover,Nike,www.indeed.com/rc/clk?jk=ada1122e784eb5a0,MA,Senior Manager E Commerce Analytics Converse
indeed.com,63,Massachusetts,EMC,www.indeed.com/rc/clk?jk=387474b6b0d400d9,,Sr. Director BI Big Data Analytics
indeed.com,65,Bellevue,"Expedia, Inc.",www.indeed.com/rc/clk?jk=641c3e1dcb73e1fe,WA,"Analytics Manager, Acquisition and Special Projects"
indeed.com,66,Austin,Revionics,www.indeed.com/rc/clk?jk=e85b75b6a593558b,TX,Product Business Analyst
indeed.com,67,Indianapolis,ExactTarget.com,www.indeed.com/rc/clk?jk=3acda0487dc8d88f,IN,Marketing Specialist
indeed.com,68,Houston,Altair Engineering,www.indeed.com/rc/clk?jk=bcd92e441d196511,TX,Data Scientist
indeed.com,69,Houston,Catapult Systems Inc,www.indeed.com/rc/clk?jk=1f24d9d174553b60,TX,Senior Lead Business Intelligence Professional
indeed.com,70,Carlsbad,ViaSat,www.indeed.com/rc/clk?jk=0fbc5176deac2789,CA,Data Scientist
indeed.com,71,Columbus,Worthington Industries,www.indeed.com/cmp/Worthington-Industries/jobs/Predictive-Analytic-Manager-8e400eef0a61122d?r=1,OH,Predictive Analytics Manager
indeed.com,73,Columbia,Leidos,www.indeed.com/rc/clk?jk=14984c3f69ee85cc,MD,Operations Research Systems Analysis (ORSA) Analyst Job
indeed.com,74,Washington,"Third I, Inc",www.indeed.com/rc/clk?jk=1baacf9ebbb6263a,DC,Senior Consultant - MicroStrategy
indeed.com,75,Dodgeville,Lands' End,www.indeed.com/rc/clk?jk=3d1d466f10043c9e,WI,IT Manager - Data & Analytics
indeed.com,77,Santa Clara,Huawei,www.indeed.com/rc/clk?jk=77a7b8c3b6592e17,CA,BI Platform Core Engineer
indeed.com,78,Irvine,AutoTrader Group,www.indeed.com/rc/clk?jk=cd7ccbfcc1ab0d5b,CA,Web Statistical Analyst
indeed.com,80,Fort Mill,Red Ventures,www.indeed.com/rc/clk?jk=5cd196675ee29d56,SC,Director of Data Science
indeed.com,81,Washington,CRGT Inc.,www.indeed.com/rc/clk?jk=47da82cf0c932270,DC,Database Administrator - Subject Matter Expert
indeed.com,82,Pittsburgh,American Eagle Outfitters,www.indeed.com/rc/clk?jk=fbcd4311f5200a9f,PA,"Director, Advanced Analytics"
indeed.com,84,New York,Collective,www.indeed.com/rc/clk?jk=481ef2373cfb4a01,NY,Senior Data Scientist
indeed.com,85,Seattle,Amazon Corporate LLC,www.indeed.com/rc/clk?jk=cd976beb8b24fbc6,WA,Statistical Forecast Scientist
indeed.com,86,Coconut Grove,"Watsco, Inc",www.indeed.com/rc/clk?jk=3e4a6e7504896267,FL,"Manager, Advanced Analytics"
indeed.com,87,San Francisco Bay Area,JeanBlaque Solutions Inc,www.indeed.com/cmp/Jean-Blaque-staffing-solutions/jobs/Analytic-Pricing-Analyst-483a37527f694266?r=1,CA,Analytics and Pricing Analyst
indeed.com,88,Highland Hills,PNC Bank,www.indeed.com/rc/clk?jk=626d1f79c1d6521e,OH,Modeling Analyst III
indeed.com,89,Los Angeles,POSSIBLE,www.indeed.com/rc/clk?jk=5c11e558e59af932,CA,Senior Analytics and Optimization Manager
indeed.com,90,Phoenix,Freeport-McMoRan Corporation,www.indeed.com/rc/clk?jk=52fc6b768f94bb7f,AZ,Data Scientist Phoenix AZ
indeed.com,91,Columbus,JPMorgan Chase,www.indeed.com/rc/clk?jk=8d9a7349fac30e0d,OH,Business Modeling and Analytics Data Scientist
indeed.com,92,Seattle,TUI Travel,www.indeed.com/rc/clk?jk=12701647854fb71d,WA,Analytics Manager
indeed.com,93,Columbus,Resource Interactive LLC,www.indeed.com/rc/clk?jk=65daa652a4ddeec4,OH,"Senior Analyst, Modelling & Data Mining"
indeed.com,95,Milpitas,Kohl's Corporation,www.indeed.com/rc/clk?jk=d5eaf172cf828620,CA,Engineering Leader - Big Data Platform
indeed.com,96,Federal Way,World Vision Inc.,www.indeed.com/rc/clk?jk=2894a793c56a4c53,WA,"Manager, Prospect Analytics"
indeed.com,98,Foster City,Slingbox,www.indeed.com/rc/clk?jk=cee2d8a2ad21f6e6,CA,Senior Data Analyst
indeed.com,99,St. Louis,Monsanto,www.indeed.com/rc/clk?jk=a03919879664bb9c,MO,Global Supply Chain Senior Data Scientist
indeed.com,100,Seattle,Starbucks,www.indeed.com/rc/clk?jk=5e55aaf6dbdf06cb,WA,"manager, retail analytics - global strategy"
indeed.com,101,Atlanta,Harland Clarke,www.indeed.com/rc/clk?jk=e5fb0b973f002388,GA,Data Analytics Manager - Marketing
indeed.com,102,Dallas,Neiman Marcus,www.indeed.com/rc/clk?jk=b111dc473703c506,TX,Data Analytics Engineer
indeed.com,104,Burlington,89 Degrees,www.indeed.com/rc/clk?jk=a2a7bd0a56a4abc3,MA,Marketing Analyst
indeed.com,105,Hartford,Deloitte,www.indeed.com/rc/clk?jk=f85fef1725001d48,CT,Systems / Applications Administrator
indeed.com,106,Weston,Monster,www.indeed.com/rc/clk?jk=a194052b422a240a,MA,Data Scientist Pricing Optimization
indeed.com,107,Chantilly,Vencore,www.indeed.com/rc/clk?jk=51b315d9fab359ef,VA,SEIN Data Foundations Data Processing Engineer Lead
indeed.com,108,Plano,Pizza Hut,www.indeed.com/rc/clk?jk=11d92f42685a51e3,TX,Manager of Data Science & Predictive\Advanced Analytics
indeed.com,109,Sunnyvale,Orbitz Worldwide,www.indeed.com/rc/clk?jk=09b7c4c26745076a,CA,"Sr Analyst, eMarketing (SEM)"
indeed.com,110,Charlottesville,University of Virginia Physicians Group,www.indeed.com/rc/clk?jk=868e499245f595d3,VA,Database Administrator
indeed.com,111,Nashville,Centerstone,www.indeed.com/rc/clk?jk=4d7045ed80994f45,TN,Data Architect
indeed.com,112,Century City,Annenberg,www.indeed.com/cmp/Annenberg/jobs/Crm-b062529150c35392?r=1,CA,CRM / Email Marketing Associate
indeed.com,113,Plano,Yum! Brands,www.indeed.com/rc/clk?jk=f960a83c63ea4f43,TX,Manager of Data Science & Predictive/Advanced Analytics Job
indeed.com,114,Buffalo Grove,Siemens Building Technologies,www.indeed.com/rc/clk?jk=fdbdc39380feb5f6,IL,Data Scientist
